Month ,Day,Avg. Temperature (℉)
Jan,1,56.5
Jan,2,54.5
Jan,3,53
Jan,4,54
Jan,5,57
Jan,6,59.5
Jan,7,52
Jan,8,58.5
Jan,9,60.5
Jan,10,64
Jan,11,67.5
Jan,12,63.5
Jan,13,63
Jan,14,64
Jan,15,64
Jan,16,66.5
Jan,17,63.5
Jan,18,62.5
Jan,19,61
Jan,20,62.5
Jan,21,60
Jan,22,68
Jan,23,65.5
Jan,24,59.5
Jan,25,57
Jan,26,59
Jan,27,57.5
Jan,28,63
Jan,29,59.5
Jan,30,56.5
Jan,31,54
Feb,1,59
Feb,2,57.5
Feb,3,57
Feb,4,60.5
Feb,5,59
Feb,6,59.5
Feb,7,65.5
Feb,8,65
Feb,9,70.5
Feb,10,77.5
Feb,11,70.5
Feb,12,71
Feb,13,70
Feb,14,61.5
Feb,15,57.5
Feb,16,55
Feb,17,62
Feb,18,58.5
Feb,19,60.5
Feb,20,60.5
Feb,21,59.5
Feb,22,56
Feb,23,52.5
Feb,24,53
Feb,25,53
Feb,26,58.5
Feb,27,60
Feb,28,64.5
March,1,60.5
March,2,62
March,3,56.5
March,4,58
March,5,56
March,6,55
March,7,54
March,8,54.5
March,9,53.5
March,10,58.5
March,11,57.5
March,12,58
March,13,56
March,14,59
March,15,58.5
March,16,61.5
March,17,62.5
March,18,62
March,19,60.5
March,20,59.5
March,21,59.5
March,22,64.5
March,23,70
March,24,63.5
March,25,61.5
March,26,60.5
March,27,59.5
March,28,60
March,29,58.5
March,30,60
March,31,59.5
Oct,1,69.5
Oct,2,71
Oct,3,70.5
Oct,4,70
Oct,5,67.5
Oct,6,67.5
Oct,7,70
Oct,8,71.5
Oct,9,71.5
Oct,10,70
Oct,11,70
Oct,12,71
Oct,13,68
Oct,14,67
Oct,15,68.5
Oct,16,69.5
Oct,17,67.5
Oct,18,71
Oct,19,78.5
Oct,20,
Oct,21,
Oct,22,
Oct,23,
Oct,24,
Oct,25,
Oct,26,
Oct,27,
Oct,28,
Oct,29,
Oct,30,
Oct,31,
